run,median_rms,lower,upper
15274,2.153056,0.237474,0.400227
15078,2.154913,0.266431,0.355309
14901,2.171065,0.247953,0.379294
14727,2.195234,0.265071,0.412251
14660,2.200690,0.270375,0.386312
14548,2.153415,0.269228,0.315419
14545,2.167609,0.283810,0.339959
14522,2.219833,0.259499,0.447323
14374,2.098670,0.226148,0.345491
14186,2.171980,0.269496,0.385925
14082,2.183110,0.255548,0.397270
14081,2.185123,0.277454,0.402385
13957,2.162446,0.266714,0.409768
13829,2.154915,0.272356,0.399605
13828,2.144874,0.253139,0.329612
13651,2.122069,0.240936,0.374612
13424,2.269338,0.287100,0.410006
13294,2.172472,0.264442,0.373293
13293,2.160067,0.269099,0.369842
13122,2.143471,0.220240,0.391901
13121,2.176323,0.257089,0.360364
12940,2.169582,0.243315,0.422605
12762,2.279796,0.280756,0.422477
12581,2.354104,0.323684,0.395837
12504,2.194058,0.270527,0.391551
12392,2.206760,0.269158,0.410664
12312,2.289491,0.309547,0.435606
12205,2.338653,0.321312,0.439291
12124,2.284303,0.285093,0.451092
12038,2.310378,0.283807,0.467326
11806,2.237891,0.276162,0.448785
11727,2.270676,0.282197,0.488687
11723,2.321983,0.313456,0.450957
11722,2.371216,0.385458,0.502390
11618,2.355183,0.348005,0.498305
11529,2.240991,0.270837,0.496044
11423,2.301118,0.313363,0.488371
11346,2.228255,0.305362,0.371503
11312,2.233028,0.306075,0.404252
11270,2.186910,0.271196,0.417423
11146,2.272711,0.306355,0.466283
11063,2.242246,0.299381,0.446252
11062,2.249944,0.323673,0.452589
10980,2.191165,0.272217,0.437459
10871,2.227626,0.302561,0.409351
10790,2.188635,0.251040,0.388241
10688,2.127166,0.243807,0.369113
10687,2.132890,0.251352,0.341919
10604,2.212782,0.304697,0.442038
10517,2.196743,0.293463,0.378790
10393,2.202447,0.284158,0.413490
10291,2.209035,0.303641,0.373853
10259,2.200119,0.275005,0.397886
10127,2.188626,0.298372,0.373743
9554,2.186908,0.288213,0.403848
9304,2.162434,0.281296,0.338655
9222,2.141042,0.261628,0.341432
9117,2.141053,0.259743,0.320445
9039,2.181763,0.289202,0.372923
8927,2.149204,0.276962,0.345179
8845,2.158195,0.272314,0.337048
8740,2.125064,0.248560,0.341789
8632,2.152271,0.273195,0.360807
8550,2.150813,0.258256,0.337584
8494,2.158347,0.274781,0.348275
8453,2.147315,0.247169,0.358858
8355,2.156559,0.248431,0.362819
8272,2.152273,0.256066,0.359715
8159,2.160688,0.276267,0.396499
8074,2.171811,0.283732,0.358711
7973,2.162582,0.257181,0.399559
7917,2.180296,0.272933,0.372969
7849,2.302977,0.295453,0.369801
7841,2.189680,0.263092,0.384649
7800,2.182123,0.277830,0.364832
7763,2.145192,0.263533,0.366863
7685,2.197628,0.277985,0.358346
7649,2.134695,0.246970,0.419334
7574,2.193494,0.280240,0.402598
7490,2.192379,0.279998,0.336523
7452,2.170274,0.277201,0.371180
7271,2.153056,0.253568,0.392023
7173,2.182662,0.272231,0.424616
7141,2.210330,0.285707,0.350729
7133,2.187597,0.265455,0.384316
7104,2.181080,0.269354,0.375292
7072,2.155469,0.242137,0.360965
6990,2.322599,0.306120,0.429386
6989,2.326767,0.296534,0.413478
6962,2.192998,0.268505,0.355785
6943,2.193910,0.270901,0.413722
6914,2.168342,0.266350,0.358791
6900,2.157646,0.241241,0.369772
6899,2.166773,0.258302,0.363531
6746,2.152586,0.265512,0.369881
